,Topic,Statements,User Id,Sequence
0,Brexit,"The decision whether the UK should stay or leave the EU was put to a vote. With a vote of 52% to 48%, the UK has decided to leave the EU.",102,1
1,Brexit,"The choice about whether the UK should remain or leave the EU was put to a vote. With a vote of 52% to 48%, the UK has chosen to leave the EU.",108,1
2,Brexit,"There was a debate on whether the UK should remain or leave the EU. With a 52% to 48% vote, the UK decided to leave the EU.",101,1
3,Brexit,"The decision whether or not the united kingdom ought to keep or leave the EU was place to a vote. With a vote of fifty two to forty eighth, the united kingdom has set to depart the EU.",106,1
4,Brexit,The Brexit referendum has had a significant adverse impact on the global market,102,2
5,Brexit,The Brexit choice has had a huge unfriendly effect on the worldwide market,105,2
6,Brexit,The referendum on Brexit has had a major negative effect on the worldwide economy,104,2
7,Brexit,The Brexit vote has had a major adverse impact on the world market,108,2
8,Brexit,"Because of Brexit, the stock markets have plummeted and the British pound has fallen, impacting the FTSE and several financial industries",102,3
9,Brexit,"In light of Brexit, the securities exchanges have plunged and the British pound has fallen, affecting the FTSE and a few money related ventures",104,3
10,Brexit,"Because of Brexit, the stock markets collapsed and the British pound dropped, affecting the FTSE and several financial industries",108,3
11,Brexit,"Because of Brexit, the stock markets have plummeted and therefore the British monetary unit has fallen, impacting the FTSE and several other money industries",101,3
12,Brexit,"Because of Brexit, in the US, the Dow Jones fell 2.6% in the opening minutes.",102,4
13,Brexit,"in the US, Due to Brexit, the Dow Jones fell 2.6% in the opening minutes.",106,4
14,Brexit,The Dow Jones dropped 2.6 percent in the opening minutes due to Brexit in the US.,102,4
15,Brexit,"Because of Brexit within the America, the stock market index fell a pair of.6% within the gap minutes.",106,4
16,Brexit,"The voter turnout for the referendum was 71.8%, the highest voter turnout since 1992's general election.",102,5
17,Brexit,"The voter turnout for the submission was 71.8%, the most noteworthy voter turnout since 1992's general race.",105,5
18,Brexit,"The turnout for the application was 71.8 percent, the most notable turnout since the general race of 1992.",105,5
19,Brexit,"The numerical quantity for the submission was seventy one.8%, the foremost noteworthy numerical quantity since 1992's general race.",102,5
20,Brexit,the actual process of Britain leaving will take some time as there are official steps to be taken,101,6
21,Brexit,the genuine procedure of Britain leaving will take some time as there are authentic strides to be taken,104,6
22,Brexit,"The real UK exit method will take some time, as formal measures need to be taken",101,6
23,Brexit,the actual method of england effort can take your time as there are official steps to be taken,105,6
24,Brexit,"Until a departure treaty is signed, Britain remains, in principle, a full member of the EU",108,7
25,Brexit,"Until a flight bargain is marked, Britain stays, on a fundamental level, a full individual from the EU",102,7
26,Brexit,"In essence, Britain stays a complete member of the EU until a departure treaty is signed",106,7
27,Brexit,"Until a departure pact is signed, Great Britain remains, in theory, a full member of the EU",106,7
28,Brexit,Britain is excluded from discussions affecting its exit terms,104,8
29,Brexit,England is rejected from talks influencing its leave terms,106,8
30,Brexit,Britain is excluded from debates that affect its conditions of departure,104,8
31,Brexit,Britain is excluded from discussions moving its exit terms,105,8
32,Brexit,Article 50 establishes the procedure for negotiations between the EU and the member that wishes to leave.,105,9
